TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EB-B,CDS,PST,FE-JONS,POSI,UPR,PCE-EPK,UCE,AP-PDP-PL
Bizkaia,ABADIÑO,,1,3,4964,3248,39,3209,19,3190,1716,1100,813,669,163,35,126,24,2,5,6,12,8,227
Gipuzkoa,ABALTZISKETA,,1,3,258,91,,91,,91,167,45,0,27,8,1,4,0,,0,0,0,0,6
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7491,5168,93,5075,21,5054,2323,913,1637,975,722,225,104,13,2,7,10,296,6,144
Gipuzkoa,ADUNA,,2,3,265,210,,210,,210,55,111,3,78,10,2,0,0,,0,0,2,0,4
Álava,AGURAIN/SALVATIERRA,,51,2,2658,1804,55,1734,13,1721,854,447,555,328,96,22,83,10,,7,0,19,12,150
Gipuzkoa,AIA,,16,4,1519,751,1,750,4,746,768,461,7,223,32,0,2,2,,1,0,2,0,16
Gipuzkoa,AIZARNAZABAL,,3,4,426,181,2,179,,179,245,88,4,66,13,0,0,0,,1,1,0,0,6
Gipuzkoa,ALBIZTUR,,4,3,259,141,,141,,141,118,81,2,30,13,0,2,0,,0,0,0,0,13
Gipuzkoa,ALEGIA,,5,3,1303,903,4,899,3,896,400,431,74,299,41,3,8,2,,2,1,3,1,31
Álava,ALEGRÍA-DULANTZI,,1,2,736,570,26,544,3,541,166,190,172,36,33,2,43,4,,0,0,3,1,57
Gipuzkoa,ALKIZA,,6,3,213,123,,123,,123,90,29,0,31,63,0,0,0,,0,0,0,0,0
Gipuzkoa,ALTZO,,7,3,273,153,1,152,,152,120,58,0,82,8,0,0,0,,0,0,0,0,4
Gipuzkoa,AMEZKETA,,8,3,927,373,3,370,,370,554,131,1,162,44,0,6,0,,0,0,3,0,23
Bizkaia,AMOREBIETA-ETXANO,,3,3,11755,8891,129,8762,28,8734,2864,3307,1995,1954,492,367,190,14,6,9,7,82,15,296
Bizkaia,AMOROTO,,4,4,335,247,,247,2,245,88,139,3,90,8,0,3,0,0,0,0,0,0,2
Álava,AMURRIO,,2,3,7023,4967,88,4879,29,4850,2056,1594,1118,879,373,19,202,13,,6,4,18,9,615
Gipuzkoa,ANDOAIN,,9,3,11634,7804,69,7735,30,7705,3830,1916,2251,1713,872,56,291,30,,9,8,103,14,442
Gipuzkoa,ANOETA,,10,3,1269,788,18,770,4,766,481,239,137,244,51,1,37,8,,3,1,3,2,40
Gipuzkoa,ANTZUOLA,,11,4,1644,1299,10,1289,7,1282,345,484,237,406,86,9,12,2,,0,0,7,1,38
Bizkaia,ARAKALDO,,5,3,94,56,1,55,,55,38,19,2,26,1,0,0,2,0,0,0,0,0,5
Gipuzkoa,ARAMA,,12,3,138,107,1,106,,106,31,53,4,45,3,0,1,0,,0,0,0,0,0
Álava,ARAMAIO,,3,2,1156,822,8,814,6,808,334,453,42,242,34,1,17,2,,1,0,3,0,13
Bizkaia,ARANTZAZU,,6,3,233,192,,192,1,191,41,101,10,61,11,0,0,0,1,0,0,0,0,7
Bizkaia,AREATZA,,93,3,944,754,10,744,6,738,190,355,77,95,91,0,9,1,0,0,0,1,0,109
Gipuzkoa,ARETXABALETA,,13,4,4407,3118,45,3073,11,3062,1289,1192,593,814,223,30,67,3,,5,4,34,2,95
Álava,ARMIÑÓN,,6,2,130,98,3,95,,95,32,31,15,6,5,1,10,0,,0,0,0,0,27
Álava,ARRAIA-MAEZTU,,37,2,689,452,10,442,,442,237,154,88,34,37,1,49,1,,4,1,3,5,65
Bizkaia,ARRANKUDIAGA,,9,3,655,492,6,486,,486,163,219,29,182,29,1,5,0,1,0,0,1,0,19
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,19938,12958,138,12820,86,12734,6980,3930,3229,3113,1032,163,451,27,,11,16,74,23,665
Álava,ARRATZUA-UBARRUNDIA,,8,2,471,332,1,331,3,328,139,98,101,22,22,2,16,0,,0,0,3,0,64
Bizkaia,ARRIETA,,10,4,405,259,4,255,2,253,146,160,6,61,2,0,3,0,0,0,0,0,0,21
Bizkaia,ARRIGORRIAGA,,11,3,7025,4787,81,4706,20,4686,2238,1399,1475,934,394,73,135,15,4,2,7,69,5,174
Bizkaia,ARTEA,,23,3,525,427,15,412,6,406,98,233,13,105,12,0,3,0,0,0,0,4,0,36
Bizkaia,ARTZENTALES,,8,2,601,405,8,397,1,396,196,238,39,63,7,1,10,1,1,0,1,4,0,31
Álava,ARTZINIEGA,,4,3,968,703,16,687,2,685,265,271,82,105,39,0,16,0,,0,1,1,0,170
Álava,ASPARRENA,,9,2,1347,899,21,878,3,875,448,312,127,196,89,8,37,6,,1,4,7,7,81
Gipuzkoa,ASTEASU,,14,3,969,550,8,542,5,537,419,241,45,215,19,0,5,3,,1,0,0,1,7
Gipuzkoa,ATAUN,,15,3,1552,1010,4,1006,2,1004,542,395,5,463,124,3,5,0,,0,0,0,0,9
Bizkaia,ATXONDO,,91,3,1121,821,5,816,3,813,300,432,103,187,35,5,16,2,0,1,2,6,3,21
Bizkaia,AULESTI,,70,4,617,365,6,359,1,358,252,165,1,163,8,1,2,0,0,0,0,0,1,17
Álava,AYALA/AIARA,,10,3,1776,1256,27,1229,11,1218,520,528,93,187,61,6,48,0,,3,0,1,2,289
